,,,,,,,,,,,,,,,,,,,,,
"□ 조립 리드타임 실적 집계 (HN5010 이후, 16년 5월 이후)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,기본정보,,,,,,,,,기타 정보,,,,계획,실적,,,,,,
,팀,세부공정,선종,프로젝트,블럭,Ass'y,PCG,PCG명,업체명,Weight,길이(L),폭(B),높이(H),계획L/T,착수,완료,실적L/T,,,,
,조립1팀,중조립,115K PC,HN5010,F41P,TB102,FL2,FORE BODY B/MOUTH,(유)희성기업(1공장),, 0.0, 0.0, 0.0,6,2016/7/11,2016/7/19,7 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41P,TB98,FL2,FORE BODY B/MOUTH,(유)희성기업(1공장),, 0.0, 0.0, 0.0,6,2016/7/11,2016/7/19,7 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41S,TB981,FL2,FORE BODY B/MOUTH,(유)예솔기업,,7.5 ,5.1 ,1.0 ,5,2016/6/30,2016/7/5,4 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41S,SS1,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10,2016/7/5,2016/7/18,10 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41S,TB102,FL2,FORE BODY B/MOUTH,(유)희성기업(1공장),, 0.0, 0.0, 0.0,6,2016/7/13,2016/7/21,7 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41S,TB98,FL2,FORE BODY B/MOUTH,(유)희성기업(1공장),, 0.0, 0.0, 0.0,6,2016/7/13,2016/7/21,7 ,,,,
,조립1팀,중조립,115K PC,HN5010,F41S,SS2,FL2,FORE BODY B/MOUTH,(유)예솔기업,, 0.0, 0.0, 0.0,10,2016/7/5,2016/7/22,14 ,,,,
,조립1팀,중조립,115K PC,HN5010,S19P,LB2,CS2,S/SHELL (CURVE),(유)예솔기업,, 14.2, 15.8, 3.6,8,2016/7/11,2016/7/21,9 ,,,,
,조립1팀,중조립,115K PC,HN5010,S19S,LB2,CS2,S/SHELL (CURVE),(유)예솔기업,, 14.2, 15.8, 3.6,8,2016/7/13,2016/7/22,8 ,,,,
,조립1팀,중조립,113K COT,HN5013,A21P,TB14,AL4,AFT. DECK (R/HORN SIDE BLK),(유)유창이엔지,, 6.8, 13.7, 1.0,5,2016/7/21,2016/7/25,3 ,,,,
,조립1팀,중조립,113K COT,HN5013,A21S,TB14,AL4,AFT. DECK (R/HORN SIDE BLK),(유)유창이엔지,, 7.0, 13.9, 1.3,5,2016/7/21,2016/7/26,4 ,,,,
,조립1팀,중조립,113K COT,HN5013,E11C,BS2B,EB1,E/R D/BOTTOM,(유)한울기업,, 9.8, 5.8, 0.0,9,2016/7/20,2016/7/27,6 ,,,,
,조립1팀,중조립,113K COT,HN5013,E11C,BS2N,EB1,E/R D/BOTTOM,(유)한울기업,, 9.8, 5.8, 0.0,9,2016/7/20,2016/7/27,6 ,,,,
,조립1팀,중조립,113K COT,HN5013,E31P,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.8, 12.1, 6.3,6,2016/7/22,2016/7/29,6 ,,,,
,조립1팀,중조립,113K COT,HN5013,E31S,LB15,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 4.8, 12.1, 6.3,6,2016/7/20,2016/7/28,7 ,,,,
,조립1팀,중조립,115K PC,HN5010,E91C,TB55B,ED3,E/ROOM BHD,(유)예솔기업,, 18.6, 14.1, 1.6,10,2016/7/20,2016/8/10,11 ,,,,
,조립1팀,중조립,113K COT,HN5013,A21P,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 7.7, 15.4, 7.6,11,2016/7/28,2016/8/24,14 ,,,,
,조립1팀,중조립,113K COT,HN5013,A21S,SS1,AL4,AFT. DECK (R/HORN SIDE BLK),(유)예솔기업,, 7.7, 15.4, 7.6,11,2016/7/29,2016/8/24,13 ,,,,
,조립1팀,중조립,113K COT,HN5013,A22C,ET1A,AL3,RUDDER HORN,(유)예솔기업,, 8.3, 4.3, 3.6,11,2016/8/8,2016/8/20,10 ,,,,
,조립1팀,중조립,113K COT,HN5013,B51P,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 12.0, 3.9,12,2016/7/18,2016/8/10,13 ,,,,
,조립1팀,중조립,113K COT,HN5013,B51P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12,2016/7/15,2016/8/10,14 ,,,,
,조립1팀,중조립,113K COT,HN5013,B51S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12,2016/7/19,2016/8/11,13 ,,,,
,조립1팀,중조립,113K COT,HN5013,B51S,SS1,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 12.0, 3.9,12,2016/7/19,2016/8/12,14 ,,,,
,조립1팀,중조립,113K COT,HN5013,B52P,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12,2016/7/19,2016/8/12,14 ,,,,
,조립1팀,중조립,113K COT,HN5013,B52P,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12,2016/7/19,2016/8/12,14 ,,,,
,조립1팀,중조립,113K COT,HN5013,B52S,HP1,CS4,HOPPER (CURVE),(유)예솔기업,, 14.1, 10.1, 3.9,12,2016/7/23,2016/8/12,10 ,,,,
,조립1팀,중조립,113K COT,HN5013,B52S,HP2,CS4,HOPPER (CURVE),(유)예솔기업,, 7.1, 5.4, 3.4,12,2016/7/21,2016/8/12,12 ,,,,
,조립1팀,중조립,113K COT,HN5013,E11C,TT1,EB1,E/R D/BOTTOM,(유)한울기업,, 0.0, 0.0, 0.0,13,2016/7/27,2016/8/17,10 ,,,,
,조립1팀,중조립,113K COT,HN5013,E11C,SS2A,EB1,E/R D/BOTTOM,(유)한울기업,, 4.1, 2.8, 0.0,7,2016/8/17,2016/8/24,6 ,,,,
,조립1팀,중조립,113K COT,HN5013,E11C,SS2M,EB1,E/R D/BOTTOM,(유)한울기업,, 4.1, 2.8, 0.0,7,2016/8/17,2016/8/24,6 ,,,,
,조립1팀,중조립,113K COT,HN5013,E21P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10,2016/8/12,2016/8/30,12 ,,,,
,조립1팀,중조립,113K COT,HN5013,E21S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 10.6, 7.7, 5.9,10,2016/8/15,2016/8/30,11 ,,,,
,조립1팀,중조립,113K COT,HN5013,E31P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10,2016/8/9,2016/8/23,10 ,,,,
,조립1팀,중조립,113K COT,HN5013,E31S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 20.3, 5.5, 0.0,10,2016/7/27,2016/8/23,14 ,,,,
,조립1팀,중조립,113K COT,HN5013,E32P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14,2016/8/11,2016/8/26,11 ,,,,
,조립1팀,중조립,113K COT,HN5013,E32S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 0.0, 0.0, 0.0,14,2016/7/26,2016/8/17,11 ,,,,
,조립1팀,중조립,113K COT,HN5013,E41P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10,2016/8/11,2016/8/25,10 ,,,,
,조립1팀,중조립,113K COT,HN5013,E41S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.4, 5.8, 0.0,10,2016/7/27,2016/8/18,11 ,,,,
,조립1팀,중조립,113K COT,HN5013,E42P,LB7,EL1,E/ROOM (L-TYPE),(유)한울기업-1,, 5.6, 4.9, 4.2,6,2016/8/16,2016/8/18,3 ,,,,
,조립1팀,중조립,113K COT,HN5013,E42P,SS1,EL1,E/ROOM (L-TYPE),(유)한울기업-1,, 18.1, 7.5, 0.0,10,2016/8/11,2016/8/23,8 ,,,,
,조립1팀,중조립,113K COT,HN5013,E42S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 18.1, 7.5, 0.0,10,2016/8/9,2016/8/24,11 ,,,,
,조립1팀,중조립,113K COT,HN5013,E51P,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.9, 4.7, 2.3,8,2016/8/15,2016/8/26,9 ,,,,
,조립1팀,중조립,113K COT,HN5013,E51S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.8, 4.7, 2.3,8,2016/8/15,2016/8/26,9 ,,,,
,조립1팀,중조립,113K COT,HN5013,E52S,SS1,EL1,E/ROOM (L-TYPE),(유)예솔기업,, 17.0, 5.0, 2.3,10,2016/8/12,2016/8/25,9 ,,,,
,조립1팀,중조립,113K COT,HN5013,F33C,SS1B,FL1,FORE BODY (L-TYPE),(유)한울기업,, 4.6, 5.5, 1.8,8,2016/8/17,2016/8/26,8 ,,,,
,조립1팀,중조립,113K COT,HN5013,F33C,SS1N,FL1,FORE BODY (L-TYPE),(유)한울기업,, 4.6, 5.5, 1.8,8,2016/8/17,2016/8/26,8 ,,,,
,조립1팀,중조립,113K COT,HN5013,S11P,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9,2016/7/27,2016/8/16,9 ,,,,
,조립1팀,중조립,113K COT,HN5013,S11S,LB1,CS2,S/SHELL (CURVE),(유)예솔기업,, 19.5, 12.2, 2.6,9,2016/7/28,2016/8/16,8 ,,,,
,조립1팀,중조립,113K COT,HN5014,B51P,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12,2016/8/17,2016/8/31,11 ,,,,
,조립1팀,중조립,113K COT,HN5014,B51S,SS2,CS4,HOPPER (CURVE),(유)예솔기업,, 20.4, 8.6, 3.9,12,2016/8/18,2016/8/31,10 ,,,,
